,Questions,Answers
41,i'd rather be cold than hot.,me too.
42,it doesn't look very nice outside today.,you're right. i think it's going to rain later.
43,you're right. i think it's going to rain later.,"in the middle of the summer, it shouldn't be raining."
44,"in the middle of the summer, it shouldn't be raining.",that wouldn't seem right.
45,that wouldn't seem right.,"considering that it's over ninety degrees outside, that would be weird."
46,"considering that it's over ninety degrees outside, that would be weird.","exactly, it wouldn't be nice if it started raining. it's too hot."
47,"exactly, it wouldn't be nice if it started raining. it's too hot.","i know, you're absolutely right."
48,"i know, you're absolutely right.",i wish it would cool off one day.
49,i wish it would cool off one day.,"that's how i feel, i want winter to come soon."
50,"that's how i feel, i want winter to come soon.","i enjoy the winter, but it gets really cold sometimes."
51,"i enjoy the winter, but it gets really cold sometimes.","i know what you mean, but i'd rather be cold than hot."
52,"i know what you mean, but i'd rather be cold than hot.",that's exactly how i feel.
53,i wish it was a nicer day today.,that is true. i hope it doesn't rain.
54,that is true. i hope it doesn't rain.,it wouldn't rain in the middle of the summer.
55,it wouldn't rain in the middle of the summer.,it wouldn't seem right if it started raining right now.
56,it wouldn't seem right if it started raining right now.,it would be weird if it started raining in ninety degree weather.
57,it would be weird if it started raining in ninety degree weather.,any rain right now would be pointless.
58,any rain right now would be pointless.,"that's right, it really would be."
59,"that's right, it really would be.",i want it to cool down some.
60,i want it to cool down some.,"i know what you mean, i can't wait until it's winter."
61,"i know what you mean, i can't wait until it's winter.",winter is great. i wish it didn't get so cold sometimes though.
62,winter is great. i wish it didn't get so cold sometimes though.,i would rather deal with the winter than the summer.
63,it's such a nice day.,"yes, it is."
64,"yes, it is.",it looks like it may rain soon.
65,it looks like it may rain soon.,"yes, and i hope that it does."
66,"yes, and i hope that it does.",why is that?
67,why is that?,i really love how rain clears the air.
68,i really love how rain clears the air.,me too. it always smells so fresh after it rains.
69,me too. it always smells so fresh after it rains.,"yes, but i love the night air after it rains."
70,"yes, but i love the night air after it rains.",really? why is it?
71,really? why is it?,because you can see the stars perfectly.
72,because you can see the stars perfectly.,i really hope it rains today.
73,i really hope it rains today.,"yeah, me too."
74,isn't it a nice day?,it really is.
75,it really is.,it seems that it may rain today.
76,it seems that it may rain today.,hopefully it will.
77,hopefully it will.,how come?
78,how come?,i like how clear the sky gets after it rains.
79,i like how clear the sky gets after it rains.,i feel the same way. it smells so good after it rains.
80,i feel the same way. it smells so good after it rains.,i especially love the night air when it rains.
81,i especially love the night air when it rains.,really? why?
82,really? why?,the stars look so much closer after it rains.
83,the stars look so much closer after it rains.,i really want it to rain today.
84,i really want it to rain today.,"yeah, so do i."
85,don't you think it's nice out?,"yes, i think so too."
86,"yes, i think so too.",i think that it's going to rain.
87,i think that it's going to rain.,i hope that it does rain.
88,i hope that it does rain.,you like the rain?
89,you like the rain?,the sky looks so clean after it rains. i love it.
90,the sky looks so clean after it rains. i love it.,i understand. rain does make it smell cleaner.
91,i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.
92,i love most how it is at night after it rains.,how come?
93,how come?,you can see the stars so much more clearly after it rains.
94,you can see the stars so much more clearly after it rains.,i would love for it to rain today.
95,i really want to go to the beach this weekend.,that sounds like fun. what's the weather going to be like?
96,that sounds like fun. what's the weather going to be like?,i heard that it's going to be warm this weekend.
97,i heard that it's going to be warm this weekend.,is it going to be perfect beach weather?
98,is it going to be perfect beach weather?,i believe so.
99,i believe so.,good. i hope it doesn't cool off this weekend.
100,good. i hope it doesn't cool off this weekend.,i know. i really want to go to the beach.
101,i know. i really want to go to the beach.,but you know that california weather is really unpredictable.
102,but you know that california weather is really unpredictable.,"you're right. one minute it's hot, and then the next minute it's cold."
103,"you're right. one minute it's hot, and then the next minute it's cold.",i really wish the weather would just stay the same.
104,i really wish the weather would just stay the same.,i do too. that way we can have our activities planned ahead of time.
105,i do too. that way we can have our activities planned ahead of time.,"yeah, that would make things a lot easier."
106,i would like to take a trip to the beach this weekend.,a trip to the beach would be fun. how is the weather going to be?
107,a trip to the beach would be fun. how is the weather going to be?,the forecast says that it will be warm on the weekend.
108,the forecast says that it will be warm on the weekend.,so do you think it'll be perfect weather for the beach?
109,so do you think it'll be perfect weather for the beach?,it sounds like it will be.
110,it sounds like it will be.,i really hope it doesn't get cold.
111,i really hope it doesn't get cold.,"that would ruin things, i want to go so badly."
112,"that would ruin things, i want to go so badly.","the weather in california is unpredictable, so you never know."
113,"the weather in california is unpredictable, so you never know.",that is true. the weather is constantly changing.
114,that is true. the weather is constantly changing.,it would be nice if the weather would never change.
115,it would be nice if the weather would never change.,"that would be great, then we could plan things sooner."
116,"that would be great, then we could plan things sooner.",true. predictable weather would make life easier.
117,it would be nice to go to the beach sometime this weekend.,what's the weather going to be like? i may want to go too.
118,what's the weather going to be like? i may want to go too.,the weather this weekend is supposed to be warm.
119,the weather this weekend is supposed to be warm.,will it be good beach weather?
120,will it be good beach weather?,i think it will be.
121,i think it will be.,it wouldn't be good if it got cold this weekend.
122,it wouldn't be good if it got cold this weekend.,"i want this trip to be perfect, i hope it stays warm."
123,"i want this trip to be perfect, i hope it stays warm.","this california weather is so uncertain, it's impossible to know what'll happen."
124,"this california weather is so uncertain, it's impossible to know what'll happen.",i know. every day the weather seems different.
125,i know. every day the weather seems different.,i would love it if it wasn't always so unpredictable.
126,i would love it if it wasn't always so unpredictable.,that would make it easier for us to make plans.
127,"hello, may i speak to alice please?",this is she. how's it going?
128,this is she. how's it going?,i've been trying to call you all day.
129,i've been trying to call you all day.,sorry about that. i was cleaning up.
130,sorry about that. i was cleaning up.,it's okay.
131,it's okay.,so what were you calling me about?
132,so what were you calling me about?,"oh, i just wanted to see if you wanted to hang out tomorrow."
133,"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?"
134,"sure, what did you want to do?",maybe we can go see a movie or something.
135,maybe we can go see a movie or something.,that sounds like fun. let's do it.
136,that sounds like fun. let's do it.,i'll see you tomorrow then.
137,i'll see you tomorrow then.,see you then. goodbye.
138,"hi, how are you. is alice there?",speaking. what's up?
139,speaking. what's up?,why haven't you answered the phone?
140,why haven't you answered the phone?,"my bad, i had chores to do."
141,"my bad, i had chores to do.",that's all right.
142,that's all right.,what was the reason for your call?
143,what was the reason for your call?,i want to do something tomorrow with you.
144,i want to do something tomorrow with you.,sounds good. what did you have in mind?
145,sounds good. what did you have in mind?,i was thinking about seeing a movie.
146,i was thinking about seeing a movie.,"okay, let's go see a movie."
147,"okay, let's go see a movie.",until then.
148,until then.,talk to you later.
149,is alice available?,you're talking to her.
150,you're talking to her.,i've called you a hundred times today.
151,i've called you a hundred times today.,i was busy doing something. i apologize.
152,i was busy doing something. i apologize.,no problem.
153,no problem.,did you need something?
154,did you need something?,do you want to do something tomorrow?
155,do you want to do something tomorrow?,is there somewhere special you wanted to go?
156,is there somewhere special you wanted to go?,how about a movie?
157,how about a movie?,a movie sounds good.
158,a movie sounds good.,call me tomorrow then.
159,have you seen the new girl in school?,"no, i haven't."
160,"no, i haven't.",she's really pretty.
161,she's really pretty.,describe her to me.
162,describe her to me.,she's not too tall.
163,she's not too tall.,"well, how tall is she?"
164,"well, how tall is she?",she's about five feet even.
165,she's about five feet even.,"what does she look like, though?"
166,"what does she look like, though?",she has pretty light brown eyes.
167,she has pretty light brown eyes.,i may know which girl you're talking about.
168,i may know which girl you're talking about.,so you have seen her around?
169,so you have seen her around?,"yes, i have."
170,"there's a new girl in school, have you seen her yet?",i haven't seen her yet.
171,i haven't seen her yet.,i think that she is very pretty.
172,i think that she is very pretty.,tell me how she looks.
173,tell me how she looks.,she's kind of short.
174,she's kind of short.,what height is she?
175,what height is she?,she's probably about five feet.
176,she's probably about five feet.,"that's nice, but tell me what she looks like."
177,"that's nice, but tell me what she looks like.",the first thing i noticed was her beautiful brown eyes.
178,the first thing i noticed was her beautiful brown eyes.,i think i might've bumped into her before.
179,i think i might've bumped into her before.,are you telling me that you've seen her before?
180,are you telling me that you've seen her before?,i believe so.
181,have you met the new girl?,no. have you?
182,no. have you?,she's one of the prettiest girls at the school.
183,she's one of the prettiest girls at the school.,what does she look like?
184,what does she look like?,"well, she's quite short."
185,"well, she's quite short.",how tall would you say that she is?
186,how tall would you say that she is?,i would say she's only five feet.
187,i would say she's only five feet.,what about her facial features?
188,what about her facial features?,"she has light brown eyes, absolutely beautiful."
189,"she has light brown eyes, absolutely beautiful.",i think i know who you're talking about.
190,i think i know who you're talking about.,have you seen her?
191,why weren't you at school yesterday?,i wasn't really feeling well.
192,i wasn't really feeling well.,what was wrong with you?
193,what was wrong with you?,my stomach was upset.
194,my stomach was upset.,do you feel better now?
195,do you feel better now?,i don't really feel too well yet.
196,i don't really feel too well yet.,do you want anything to make you feel better?
197,do you want anything to make you feel better?,"no, thanks. i already took some medicine."
198,"no, thanks. i already took some medicine.",i hope you feel better.
199,i hope you feel better.,thank you.
200,what reason do you have for missing school?,i was sick.
201,i was sick.,how were you sick?
202,how were you sick?,i had a stomachache.
203,i had a stomachache.,did it get any better?
204,did it get any better?,i'm still feeling under the weather.
205,i'm still feeling under the weather.,would you like anything for your stomach?
206,would you like anything for your stomach?,i took something earlier.
207,i took something earlier.,get better.
208,get better.,thanks a lot.
209,why didn't you go to school yesterday?,i stayed home because i wasn't feeling well.
210,i stayed home because i wasn't feeling well.,what was your problem?
211,what was your problem?,my stomach was bothering me.
212,my stomach was bothering me.,are you feeling any better?
213,are you feeling any better?,i'm still feeling a little sick.
214,i'm still feeling a little sick.,"i'm going to the store, would you like any pepto bismol?"
215,"i'm going to the store, would you like any pepto bismol?",that's okay.
216,that's okay.,i hope you feel better.
217,did you hear the good news?,"no, i haven't."
218,"no, i haven't.",i got a promotion at my job.
219,i got a promotion at my job.,did you really?
220,did you really?,"seriously, i am so excited."
221,"seriously, i am so excited.","well, congratulations."
222,"well, congratulations.",thank you.
223,thank you.,i'm so happy for you.
224,i'm so happy for you.,really?
225,really?,yes. you really deserved this.
226,yes. you really deserved this.,you think so?
227,you think so?,yes. good for you.
228,have you heard my good news?,you haven't told me anything yet.
229,you haven't told me anything yet.,i got a promotion at work earlier this week.
230,i got a promotion at work earlier this week.,is that right?
231,is that right?,it's the truth. i am really happy.
232,it's the truth. i am really happy.,congratulations on your promotion.
233,congratulations on your promotion.,thank you very much.
234,thank you very much.,i am really excited for you.
235,i am really excited for you.,are you really?
236,are you really?,i'm serious. you deserved this promotion.
237,i'm serious. you deserved this promotion.,is that what you really think?
238,is that what you really think?,"yes, i do."
239,"i haven't told you what happened yet, have i?",i haven't heard anything.
240,i haven't heard anything.,"my boss offered me a promotion, and i took it."
241,"my boss offered me a promotion, and i took it.",are you serious?
242,are you serious?,"yes, i am really excited."
243,"yes, i am really excited.",that's great. congratulations.
244,that's great. congratulations.,i appreciate that.
245,i appreciate that.,you have no idea how happy i am for you.
246,you have no idea how happy i am for you.,for real?
247,you look really nice today. ,thank you. i just got this outfit the other day.
248,thank you. i just got this outfit the other day.,"really, where did you get it?"
249,"really, where did you get it?",i got it from macy's.
250,i got it from macy's.,it's really nice.
251,it's really nice.,"thanks again. you look nice today, too."
252,"thanks again. you look nice today, too.",thank you. i just got these shoes today.
253,thank you. i just got these shoes today.,really? what kind of shoes are they?
254,really? what kind of shoes are they?,these are called all star chuck taylors.
255,these are called all star chuck taylors.,i really like those. how much did they cost?
256,i really like those. how much did they cost?,they were about forty dollars.
257,they were about forty dollars.,i think i'm going to go buy myself a pair.
258,i absolutely love what you're wearing today.,you do? i just bought this outfit a couple days ago.
259,you do? i just bought this outfit a couple days ago.,"seriously, it looks really nice on you. where did you buy it from?"
260,"seriously, it looks really nice on you. where did you buy it from?",i bought it from the macy's at the santa anita mall.
261,i bought it from the macy's at the santa anita mall.,i really like that outfit.
262,i really like that outfit.,"thanks. i think you look nice today, too."
263,"thanks. i think you look nice today, too.",thank you. i just bought these new shoes earlier today.
264,thank you. i just bought these new shoes earlier today.,those are nice. what are they?
265,those are nice. what are they?,these are some chucks.
266,these are some chucks.,those are great. how much were they?
267,those are great. how much were they?,i got them for forty.
268,i got them for forty.,i think i might go and find me my own pair of chucks.
269,i think that you look very cute today.,is that right? this is a brand new outfit.
270,is that right? this is a brand new outfit.,what store did you get it from?
271,what store did you get it from?,i went to macy's and picked it out.
272,i went to macy's and picked it out.,i love your outfit right now.
273,i love your outfit right now.,"well, i think you look nice today too."
274,"well, i think you look nice today too.",thanks. i found these new shoes earlier at the store.
275,thanks. i found these new shoes earlier at the store.,i think that those are some really nice shoes. what kind are they?
276,i think that those are some really nice shoes. what kind are they?,these are chucks.
277,these are chucks.,your shoes look really nice. how much did you get them for?
278,your shoes look really nice. how much did you get them for?,they only cost me about forty dollars.
279,"tell me, what do you enjoy doing in your spare time?",i enjoy drawing and painting.
280,i enjoy drawing and painting.,you know how to draw and paint?
281,you know how to draw and paint?,"yes, i do."
282,"yes, i do.",when did you learn how to do that?
283,when did you learn how to do that?,i learned back in high school.
284,i learned back in high school.,"oh, so you took an art class?"
285,"oh, so you took an art class?","yeah, i loved that class."
286,"yeah, i loved that class.",i see that you're pretty talented.
287,i see that you're pretty talented.,thank you very much.
288,thank you very much.,i wish i had a talent like that.
289,i wish i had a talent like that.,i'm sure you have a talent. it's just hidden.
290,what kinds of things do you like to do?,i've always liked to draw and paint.
291,i've always liked to draw and paint.,i didn't know you knew how to draw and paint.
292,i didn't know you knew how to draw and paint.,i do it every once in a while.
293,i do it every once in a while.,how long have you known how to do that?
294,how long have you known how to do that?,i first learned how to do it in high school.
295,i first learned how to do it in high school.,did you take some sort of art class or something?
296,did you take some sort of art class or something?,that was my favorite class.
297,that was my favorite class.,you have got to be talented.
298,you have got to be talented.,thanks.
299,thanks.,if only i was talented.
300,if only i was talented.,you have a talent. you just don't know what it is yet.
301,are there any hobbies you do?,"when i have time, i sometimes draw and paint."
302,"when i have time, i sometimes draw and paint.","oh, you actually do that?"
303,"oh, you actually do that?","every so often, i do."
304,"every so often, i do.",did you always know how to draw and paint?
305,did you always know how to draw and paint?,i was taught in high school how to draw and paint.
306,i was taught in high school how to draw and paint.,you had an art class?
307,you had an art class?,"exactly, it was my favorite class."
308,"exactly, it was my favorite class.","well, it's good that you're so talented."
309,"well, it's good that you're so talented.",i appreciate that.
310,i appreciate that.,"talent is a great thing, i wish i had one."
311,what's your favorite movie?,my favorite movie is superbad.
312,my favorite movie is superbad.,"oh, why is that?"
313,"oh, why is that?",it's the funniest movie that i've ever seen.
314,it's the funniest movie that i've ever seen.,that's true. it is a very funny movie.
315,that's true. it is a very funny movie.,you've seen it before? 
316,you've seen it before? ,"yes, i saw that movie the first day it came out in theaters."
317,"yes, i saw that movie the first day it came out in theaters.",didn't you laugh through the whole movie? i did.
318,didn't you laugh through the whole movie? i did.,me too. that movie brought tears to my eyes.
319,me too. that movie brought tears to my eyes.,mine too.
320,mine too.,i have it on dvd at my house if you want to come over and watch it.
321,i have it on dvd at my house if you want to come over and watch it.,"sure, let's go."
322,which movie is your favorite to watch?,"i have to say, my favorite movie is superbad."
323,"i have to say, my favorite movie is superbad.",is that right? why?
324,is that right? why?,"honestly, it is one of the funniest movies i've seen in a long time."
325,"honestly, it is one of the funniest movies i've seen in a long time.",you're right. that movie is hilarious.
326,you're right. that movie is hilarious.,i didn't think you saw that movie.
327,i didn't think you saw that movie.,i went to see it the day it came out.
328,i went to see it the day it came out.,i was laughing through the whole movie.
329,i was laughing through the whole movie.,"i couldn't help laughing, either. "
330,"i couldn't help laughing, either. ",same here.
331,same here.,i bought the movie. would you like to come to my house and watch it?
332,i bought the movie. would you like to come to my house and watch it?,of course.
333,"out of every movie that you've seen, which one is your favorite?",i'm going to have to say that superbad is the best movie ever.
334,i'm going to have to say that superbad is the best movie ever.,"you think so, how come?"
335,"you think so, how come?","well, superbad is super funny."
336,"well, superbad is super funny.","you're not lying, i found that movie absolutely hilarious."
337,"you're not lying, i found that movie absolutely hilarious.",i didn't know that you saw superbad before.
338,i didn't know that you saw superbad before.,i made sure to be in line to see it the first day it came out.
339,i made sure to be in line to see it the first day it came out.,i couldn't keep from laughing throughout the whole movie.
340,i couldn't keep from laughing throughout the whole movie.,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.
341,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,that's exactly how i felt.
342,that's exactly how i felt.,"i got the movie when it came out on dvd, do you want to come over?"
343,what type of music do you like to listen to?,i like listening to different kinds of music.
344,i like listening to different kinds of music.,"like what, for instance?"
345,"like what, for instance?",i enjoy rock and r&b.
346,i enjoy rock and r&b.,why is that?
347,why is that?,i like the different instruments that they use.
348,i like the different instruments that they use.,that's a good reason to like something.
349,that's a good reason to like something.,"yeah, i think so too."
350,what kind of music do you enjoy listening to?,i enjoy listening to all kinds of music.
351,i enjoy listening to all kinds of music.,what kind?
352,what kind?,i like to listen to rock and r&b.
353,i like to listen to rock and r&b.,why do you like that type of music?
354,why do you like that type of music?,i like the kinds of instruments that they use.
355,i like the kinds of instruments that they use.,i think that's an excellent reason to like something.
356,i think that's an excellent reason to like something.,"thanks, i feel the same way."
357,what is your favorite kind of music?,i listen to various types of music.
358,i listen to various types of music.,what genres?
359,what genres?,i enjoy listening to both rock and r&b.
360,i enjoy listening to both rock and r&b.,what interests you in that type of music?
361,what interests you in that type of music?,i enjoy the different types of instruments that they use.
362,i enjoy the different types of instruments that they use.,that is a perfect reason to like a certain kind of music.
363,did you go to the basketball game on friday?,"no, i couldn't make it."
364,"no, i couldn't make it.",you missed a really good game.
365,you missed a really good game.,"oh, really? who won?"
366,"oh, really? who won?",our school did. they played really well.
367,our school did. they played really well.,too bad i was busy. i really wanted to go.
368,too bad i was busy. i really wanted to go.,"yeah, you should have. it was really exciting."
369,"yeah, you should have. it was really exciting.",so what was the score?
370,so what was the score?,the score was 101-98.
371,the score was 101-98.,"man, that was a really close game."
372,"man, that was a really close game.",that's what made it so great.
373,that's what made it so great.,i'll make sure and make it to the next one.
374,were you able to attend friday night's basketball game?,i was unable to make it.
375,i was unable to make it.,you should have been there. it was intense.
376,you should have been there. it was intense.,is that right. who ended up winning?
377,is that right. who ended up winning?,our team was victorious.
378,our team was victorious.,i wish i was free that night. i'm kind of mad that i didn't go.
379,i wish i was free that night. i'm kind of mad that i didn't go.,it was a great game.
380,it was a great game.,what was the score at the end of the game?
381,what was the score at the end of the game?,our team won 101-98.
382,our team won 101-98.,sounds like it was a close game.
383,sounds like it was a close game.,that's the reason it was such a great game.
384,that's the reason it was such a great game.,"the next game, i will definitely be there."
385,i was meaning to ask you if you saw the basketball game on friday.,"i wanted to go, but i couldn't."
386,"i wanted to go, but i couldn't.",it was a great game.
387,it was a great game.,it's too bad that i couldn't make it. who won?
388,it's too bad that i couldn't make it. who won?,our team played hard and won.
389,our team played hard and won.,i really wish i went to the game.
390,i really wish i went to the game.,it was the best game ever.
391,it was the best game ever.,so tell me the final score.
392,so tell me the final score.,"the other team lost by three points, 101-98. "
393,"the other team lost by three points, 101-98. ",it must've been a close game.
394,it must've been a close game.,it really was. you should've gone.
395,what are you doing this weekend?,i'm going to the movies with a friend. how about you?
396,i'm going to the movies with a friend. how about you?,i'm not sure yet.
397,i'm not sure yet.,"well, did you want to go see a movie with me?"
398,"well, did you want to go see a movie with me?",what movie are you going to see?
399,what movie are you going to see?,i'm not sure yet. is there something you want to see?
400,i'm not sure yet. is there something you want to see?,there's nothing i can think of.
401,there's nothing i can think of.,"so, did you want to go?"
402,"so, did you want to go?","no, thanks, maybe another time."
403,"no, thanks, maybe another time.","okay, sounds good."
404,do you know what you're going to do this weekend?,i am going to see a movie with a friend of mine. what about you?
405,i am going to see a movie with a friend of mine. what about you?,i don't know.
406,i don't know.,would you like to see a movie with me and my friend?
407,would you like to see a movie with me and my friend?,do you know what movie you're going to watch?
408,do you know what movie you're going to watch?,"i don't know, but was there a certain movie you wanted to see?"
409,"i don't know, but was there a certain movie you wanted to see?",none that i can think of.
410,none that i can think of.,"well, would you like to go?"
411,"well, would you like to go?","thank you for inviting me, but i think i'll pass."
412,"thank you for inviting me, but i think i'll pass.",all right. another time then.
413,you have any ideas as to what you want to do this weekend?,i'm going to the movie theater with my friend. what are you going to do?
414,i'm going to the movie theater with my friend. what are you going to do?,i'm not quite sure yet.
415,i'm not quite sure yet.,how about you see a movie with me and my friend?
416,how about you see a movie with me and my friend?,what movie are you and your friend planning on watching?
417,what movie are you and your friend planning on watching?,not sure. is there a movie out that catches your eye?
418,not sure. is there a movie out that catches your eye?,no good movies come to mind.
419,no good movies come to mind.,have you decided whether or not you would like to go?
420,have you decided whether or not you would like to go?,"no, thanks. maybe another time."
421,did you go to school today?,"yeah, i went to school today. were you there?"
422,"yeah, i went to school today. were you there?","no, i didn't go, i've been sick."
423,"no, i didn't go, i've been sick.",that sucks. did you want the assignments from english class?
424,that sucks. did you want the assignments from english class?,"that would be nice, thank you."
425,"that would be nice, thank you.","no problem, you're welcome."
426,"no problem, you're welcome.",i will be glad to do the same for you when you're sick.
427,i will be glad to do the same for you when you're sick.,"well, thank you. i hope to see you at school tomorrow."
428,have you attended school today?,i attended school today. did you?
429,i attended school today. did you?,i wasn't able to attend school because i was feeling ill.
430,i wasn't able to attend school because i was feeling ill.,i'm sorry to hear that. would you like the assignments from english class?
431,i'm sorry to hear that. would you like the assignments from english class?,"i would really appreciate that, thanks."
432,"i would really appreciate that, thanks.",it's no trouble at all.
433,it's no trouble at all.,"if you get sick, i'll return the favor."
434,"if you get sick, i'll return the favor.",thanks. see you at school tomorrow if you feel better.
435,have you gone to school today?,i went to school today. did you go to school?
436,i went to school today. did you go to school?,"i couldn't go to school today, i was sick."
437,"i couldn't go to school today, i was sick.",that's horrible. i'd be happy to give you the assignments from english class.
438,that's horrible. i'd be happy to give you the assignments from english class.,"thank you very much, that's kind of you."
439,"thank you very much, that's kind of you.",don't mention it.
440,don't mention it.,"when you miss a day of school, i'll be happy to give you the english assignments."
441,did you hear the news?,what happened?
442,what happened?,our cousin went into labor and had her baby last week.
443,our cousin went into labor and had her baby last week.,she did? why didn't anyone tell me?
444,she did? why didn't anyone tell me?,i would've thought that somebody would have told you.
445,i would've thought that somebody would have told you.,"no, i had no idea."
446,"no, i had no idea.","well, she did, her baby was 8 pounds 6 ounces."
447,"well, she did, her baby was 8 pounds 6 ounces.","oh my god, that's great!"
448,"oh my god, that's great!",are you going to go and visit her and the baby?
449,are you going to go and visit her and the baby?,i think that i might.
450,i think that i might.,good! i just thought i'd let you know.
451,good! i just thought i'd let you know.,thanks for telling me.
452,have you heard what happened?,heard what?
453,heard what?,debrah already had her baby.
454,debrah already had her baby.,i didn't know that.
455,i didn't know that.,i thought you knew.
456,i thought you knew.,i honestly didn't know.
457,i honestly didn't know.,the baby was 8 pounds 6 ounces.
458,the baby was 8 pounds 6 ounces.,that's good to hear.
459,that's good to hear.,will you go and visit them?
460,will you go and visit them?,of course i will.
461,of course i will.,i just wanted to give you the good news.
462,i just wanted to give you the good news.,thanks for letting me know.
463,have you heard the news?,i haven't heard anything.
464,i haven't heard anything.,debrah had her baby last week.
465,debrah had her baby last week.,nobody told me.
466,nobody told me.,i thought you heard.
467,i thought you heard.,i really wasn't told anything.
468,i really wasn't told anything.,she was a cute 8 pounds 6 ounces.
469,she was a cute 8 pounds 6 ounces.,"wow, how exciting."
470,"wow, how exciting.","i know, you should really go and see her and the baby."
471,"i know, you should really go and see her and the baby.",of course i will.
472,of course i will.,i just wanted to let you know what happened.
473,did you go to school today?,of course. did you?
474,of course. did you?,"i didn't want to, so i didn't."
475,"i didn't want to, so i didn't.","that's sad, but have you gone to the movies recently?"
476,"that's sad, but have you gone to the movies recently?",that's a switch.
477,that's a switch.,"i'm serious, have you?"
478,"i'm serious, have you?","no, i haven't. why?"
479,"no, i haven't. why?",i really want to go to the movies this weekend.
480,i really want to go to the movies this weekend.,so go then.
481,so go then.,i really don't want to go by myself.
482,i really don't want to go by myself.,"well anyway, do you plan on going to school tomorrow?"
483,"well anyway, do you plan on going to school tomorrow?","no, i think i'm going to go to the movies."
484,did you make it to school today?,i always do. did you go to school today?
485,i always do. did you go to school today?,"no, i didn't."
486,"no, i didn't.","you should have, but have you seen any movies lately?"
487,"you should have, but have you seen any movies lately?",that was an odd change of subject.
488,that was an odd change of subject.,"maybe it was, but answer the question."
489,"maybe it was, but answer the question.","no, not recently."
490,"no, not recently.",i want to go to see a movie this weekend.
491,i want to go to see a movie this weekend.,what's stopping you then?
492,what's stopping you then?,i don't want to go alone.
493,i don't want to go alone.,"so, will you be at school tomorrow?"
494,"so, will you be at school tomorrow?","no, i want to go to the movies instead."
495,did you even bother to go to school today?,"yeah, i went. did you go?"
496,"yeah, i went. did you go?","no, i didn't feel like it."
497,"no, i didn't feel like it.","that's nice, have you been to the movies lately?"
498,"that's nice, have you been to the movies lately?","no, but that was a random change of subject."
499,"no, but that was a random change of subject.","it may have been random, but have you?"
500,"it may have been random, but have you?",i haven't lately.
501,i haven't lately.,i would love to catch a movie this weekend.
502,i would love to catch a movie this weekend.,"so then, why don't you just go?"
503,"so then, why don't you just go?",i don't want to see a movie by myself.
504,i don't want to see a movie by myself.,"okay, so are you going to school tomorrow?"
505,thanks for coming to see me today.,it's no problem. i was really missing you anyway.
506,it's no problem. i was really missing you anyway.,i missed you too.
507,i missed you too.,why haven't you tried to come see me then?
508,why haven't you tried to come see me then?,i've been really busy.
509,i've been really busy.,doing what?
510,doing what?,working.
511,working.,"i would've come to see you sooner, but i've been busy too."
512,"i would've come to see you sooner, but i've been busy too.",what have you been doing?
513,what have you been doing?,i've been working too.
514,i've been working too.,"well regardless, i'm very happy that you came to see me."
515,"well regardless, i'm very happy that you came to see me.",i am too.
